1,,
1/m,1 / m,
IPTS 68,degree * C,IPTS-68
IPTS-68,degree * C,IPTS-68
ITS 90,degree * C,ITS-90
ITS-90,degree * C,ITS-90
S m-1,S / m,
dbar,dbar,
dbars,dbar,
decibar,dbar,
decibars,dbar,
degree celsius,degree * C,
degree east,degree * E,
degree north,degree * N,
degree south,degree * S,
degree west,degree * W,
degree,degree,
degrees celsius,degree * C,
degrees east,degree * E,
degrees north,degree * N,
degrees south,degree * S,
degrees west,degree * W,
degrees,degree * C,
degrees,degree,
kg m-3,kg / m^3,
kg/m^3,kg / m^3,
m s-1,m / s,
m s-2,m / s^2,
m,m,
m-1,1 / m,
m/s,m / s,
m/s^2,m / s^2,
mS cm-1,mS / cm,
mS/cm,mS / cm,
mg m-3,mg / m^3,
mg/m^3,mg / m^3,
micromole kg-1,mu * mol / kg,
micromole l-1,mu * mol / kg,
micromole/kg,mu * mol / kg,
micromole/l,mu * mol / kg,
ml L-1,ml / l,
ml l-1,ml / l,
ml/L,ml / l,
ml/l,ml / l,
pss 78,,PSS-78
s/m,s / m,
seconds since,s,
uEinsteins s-1 m-2,mu * Einstein / s / m^2,
uEinsteins/s/m^2,mu * Einstein / s / m^2,
uS cm-1,mu * S / cm,
uS/cm,mu * S / cm,
umol kg-1,mu * mol / kg,
umol l-1,mu * mol / l,
umol/kg,mu * mol / kg,
umol/l,mu * mol / l,
volt,V,
volts,V,
